ID_taxonID,scientificName,sPrimaryCommonName,synonymName,SWAP2015,SWAP2023,SWAP2023designation,lastUpdated,taxonomyNotes,comments,gbif_taxonID,kingdom,phylum,class,order,family,genus,species,taxon_id,subspecies,variety
18838,Euderma maculatum,Spotted Bat,NA,NA,TRUE,SGIN - E,2025-05-06T00:00:00Z,NA,NA,2432579,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Euderma,Euderma maculatum,2432579,NA,NA
18499,Lasionycteris noctivagans,Silver-haired Bat,NA,TRUE,TRUE,SGCN,2025-05-06T00:00:00Z,NA,NA,2432341,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Lasionycteris,Lasionycteris noctivagans,2432341,NA,NA
20017,Lasiurus cinereus,Hoary Bat,NA,TRUE,TRUE,SGCN,2025-05-06T00:00:00Z,NA,NA,5218544,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Aeorestes,Aeorestes cinereus,11138256,NA,NA
17751,Myotis ciliolabrum,Western Small-footed Myotis,NA,TRUE,TRUE,SGCN,2025-05-06T00:00:00Z,NA,NA,2432456,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis ciliolabrum,2432456,NA,NA
77666,Myotis evotis,Long-eared Myotis,NA,NA,TRUE,SGIN - E,2025-05-06T00:00:00Z,NA,NA,2432413,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis evotis,2432413,NA,NA
15639,Myotis lucifugus,Little Brown Myotis,Little Brown Bat,TRUE,TRUE,SGCN,2025-05-06T00:00:00Z,NA,NA,2432406,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis lucifugus,2432406,NA,NA
15598,Myotis thysanodes,Fringed Myotis,NA,NA,TRUE,SGIN - D,2025-05-06T00:00:00Z,NA,NA,2432399,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis thysanodes,2432399,NA,NA
16889,Myotis volans,Long-legged Myotis,NA,NA,TRUE,SGIN - E,2025-05-06T00:00:00Z,NA,NA,2432411,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis volans,2432411,NA,NA
16074,Myotis yumanensis,Yuma Myotis,NA,NA,TRUE,SGCN,2025-05-06T00:00:00Z,NA,NA,2432461,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis yumanensis,2432461,NA,NA
17954,Parastrellus hesperus,Canyon Bat,Western Pipistrelle,NA,TRUE,SGIN - E,2025-05-06T00:00:00Z,NA,NA,8397398,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Parastrellus,Parastrellus hesperus,8397398,NA,NA
17243,Sylvilagus idahoensis,Pygmy Rabbit,NA,TRUE,TRUE,SGCN,2025-05-06T00:00:00Z,moved from Brachylagus to Sylvilagus,NA,2436689,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Brachylagus,Brachylagus idahoensis,2436688,NA,NA
16618,Ochotona princeps,American Pika,NA,NA,TRUE,SGCN,2025-05-06T00:00:00Z,NA,NA,2436982,Animalia,Chordata,Mammalia,Lagomorpha,Ochotonidae,Ochotona,Ochotona princeps,2436982,NA,NA
